HII, RSI(talib): 75.89584505967146
AMZN, RSI(talib): 64.7148761420576
NVDA, RSI(talib): 74.30694557946967
META, RSI(talib): 69.54691569153198
AVGO, RSI(talib): 62.91460608067603
COST, RSI(talib): 73.90748173384769
NFLX, RSI(talib): 63.55480636181906
TMUS, RSI(talib): 61.980289933005906
AMAT, RSI(talib): 65.29055040778684
ADP, RSI(talib): 81.57749139735596
LRCX, RSI(talib): 63.46299904866448
REGN, RSI(talib): 69.37090112748717
MAR, RSI(talib): 65.57470075113582
KLAC, RSI(talib): 63.18779843819128
NXPI, RSI(talib): 62.07106290866392
CTSH, RSI(talib): 61.27277189777253
WDAY, RSI(talib): 61.76391499035804
ORLY, RSI(talib): 62.671287614905545
CTAS, RSI(talib): 65.47839453429003
ODFL, RSI(talib): 63.76401697894296
FAST, RSI(talib): 68.81487240403587
ROST, RSI(talib): 70.56517257880627
PCAR, RSI(talib): 77.54071616803868
CPRT, RSI(talib): 62.06067970328522
SPLK, RSI(talib): 83.14597442235399
CEG, RSI(talib): 67.40056848452481
BRK-B, RSI(talib): 84.16189291126636
HD, RSI(talib): 66.73080579744011
JPM, RSI(talib): 74.98102270730237
LLY, RSI(talib): 74.54167351786579
MA, RSI(talib): 66.24852292539872
WFC, RSI(talib): 70.55919217401751
GE, RSI(talib): 86.94587016043243
FANG, RSI(talib): 69.02621276121754
ODFL, RSI(talib): 63.76401697894296
--------------
ATVI failed (index 0 is out of bounds for axis 0 with size 0).
SGEN failed (index 0 is out of bounds for axis 0 with size 0).
