HII, RSI(talib): 70.91150021207896
MSFT, RSI(talib): 66.67762105529656
AMZN, RSI(talib): 60.17041500841853
NVDA, RSI(talib): 68.74653550116129
GOOG, RSI(talib): 60.960238408366315
GOOGL, RSI(talib): 60.66788314970067
META, RSI(talib): 65.65145213126613
AVGO, RSI(talib): 67.81557079656426
ADBE, RSI(talib): 69.62435458324636
INTC, RSI(talib): 72.17312311041307
INTU, RSI(talib): 70.71934515463454
BKNG, RSI(talib): 63.86487402005906
MU, RSI(talib): 64.56955716196087
LRCX, RSI(talib): 70.3907506476173
MELI, RSI(talib): 72.73468857808896
PANW, RSI(talib): 61.75467010400138
MAR, RSI(talib): 70.00113151856296
KLAC, RSI(talib): 72.50419292777522
SNPS, RSI(talib): 75.75719482084045
CTSH, RSI(talib): 67.18922423715206
WDAY, RSI(talib): 66.75722201908174
CRWD, RSI(talib): 73.73744716479887
CDNS, RSI(talib): 71.87793323224308
CTAS, RSI(talib): 73.31372537563868
LULU, RSI(talib): 65.00374117646427
ZS, RSI(talib): 72.98152996216736
FAST, RSI(talib): 62.38405098296717
ROST, RSI(talib): 71.96855734986764
PCAR, RSI(talib): 68.31962273551538
CPRT, RSI(talib): 74.18397675426462
SPLK, RSI(talib): 77.91562542807958
NTES, RSI(talib): 64.3526218456814
PDD, RSI(talib): 68.57236903675332
NOW, RSI(talib): 77.31607536431275
ROKU, RSI(talib): 73.6980316330586
GE, RSI(talib): 66.82672649820596
--------------
ATVI failed (index 0 is out of bounds for axis 0 with size 0).
